date,company,cleaned_headline,sentiment,sentiment_score
2025-05-29,NVDA,trumps tariff playbook under firewhat comes next for markets,neutral,0.9104179
2025-05-29,NVDA,nvidia nvda drives us stocks higher amid trade uncertainty,positive,0.8631272
2025-05-29,NVDA,market today nvidia nvda leads ai surge amid strong earnings,positive,0.926326
2025-05-29,NVDA,jim cramer says this is the easiest way for the market to get out of its tariff nightmare,positive,0.4980805
2025-05-29,NVDA,nvidia announces upcoming events for financial community nvda stock news,neutral,0.93641794
2025-05-29,NVDA,nvidia corp nvda announces participation in key financial conferences nvda stock news,neutral,0.91616726
2025-05-29,NVDA,netapp reports record results for fourth quarter and fiscal year 2025,positive,0.9225117
2025-05-29,NVDA,stock market today markets close higher amid trump tariff legal battle nvidia leads tech gains,positive,0.88922113
2025-05-29,NVDA,nvidia time to get greedy nasdaqnvda,neutral,0.92227495
2025-05-29,NVDA,sp 500 gains and losses today hp best buy stocks drop as tariffs weigh on outlook,negative,0.9675704
2025-05-29,NVDA,sa analyst upgrades nvda djt vktx brka beam nvdanasdaq,neutral,0.9281931
2025-05-29,NVDA,stock market today sp 500 and nasdaq rally on nvidia earnings court blocks trump tariffs,negative,0.6965712
2025-05-29,NVDA,bernstein reiterates outperform rating on nvidia nvda with 185 price target,neutral,0.3927885
2025-05-29,NVDA,dow edges back up in afternoon trading,positive,0.8834772
2025-05-29,NVDA,stock market today markets climb as court blocks trump tariffs and nvidia impresses,positive,0.88854194
2025-05-29,NVDA,us stock market today sp 500 dow and nasdaq surge as nvidia smashes earnings and trumps tariffs get crushed by court ruling is this the start of a historic market rally,negative,0.6011426
2025-05-29,NVDA,chinese stocks soar as us court blocks trump tariffs,negative,0.5032817
2025-05-29,NVDA,investors double down on taco trade after tariff invalidation a tell from nvidia mass layoffs nvidia nasdaqnvda spdr sp 500 arcaspy,negative,0.94374853
2025-05-29,NVDA,nvidia rallies as the rest of wall street drifts after a us court blocks many of trumps tariffs,negative,0.8069706
2025-05-29,NVDA,top stock movers now nvidia hp best buy and more,neutral,0.8971457
2025-05-29,NVDA,nasdaq sp rise as nvidia boost tariff ruling offsets weak gdp salesforce drags dow djidow jones indices,negative,0.7787527
2025-05-29,NVDA,nvidia stock nears its alltime high is it a buy now,positive,0.58545846
2025-05-29,NVDA,us stocks give back ground after early surge but remain higher,positive,0.59431416
2025-05-29,NVDA,comparing nvidia with industry competitors in semiconductors semiconductor equipment industry nvidia nasdaqnvda,neutral,0.71377456
2025-05-29,NVDA,tech stocks surge as nvidia nvda shines optimism grows for rate cuts,positive,0.7482375
2025-05-29,NVDA,tnl mediagene cohosts the 2025 generative ai conference expands presence in ai ecosystem in asia,positive,0.8748272
2025-05-29,NVDA,us stock market today nasdaq jumps 1 on nvidia results sp 500 up after court blocks trump tariffs,positive,0.6713943
2025-05-29,NVDA,markets rally fades nvidia is off its highs,negative,0.87654275
2025-05-29,NVDA,nvidia stock soars after earningsas stocks broadly rally on tariff ruling,positive,0.7293762
2025-05-29,NVDA,these 4 quantum stocks outperformed in mayis there more room to run,positive,0.87187946
2025-05-29,NVDA,how to trade spy and top tech stocks after tariff ruling boosts market,neutral,0.8666745
2025-05-29,NVDA,nasdaq gains over 1 nvidia posts strong revenue alzamend neuro nasdaqalzn brooge energy nasdaqbrog,positive,0.9291566
2025-05-29,NVDA,blocked tariffs and an nvidia earnings beat are sending stocks higher today,negative,0.8070218
2025-05-29,NVDA,us stocks rise as court ruling weakens trumps tariff authority tech leads rally on nvidia earnings,negative,0.4580095
2025-05-29,NVDA,nvidia will set a new high soon then keep rallying heres why,positive,0.7846277
2025-05-29,NVDA,stock market today dow sp 500 nasdaq rise as wall street weighs trump tariff block nvidia earnings,negative,0.6792767
2025-05-29,NVDA,stock market today dow sp 500 nasdaq edge higher as wall street weighs trump tariff block nvidia earnings,positive,0.6867178
2025-05-29,NVDA,stock market today dow sp 500 nasdaq trim gains as wall street weighs trump tariff block nvidia earnings,negative,0.6994927
2025-05-29,NVDA,will electronic arts ea be able to close the valuation gap,neutral,0.7955963
2025-05-29,NVDA,dont take dicks sporting goods seriously big mistake,neutral,0.8871989
2025-05-29,NVDA,will uranium energy corporation uec benefit from uranium market dynamics,neutral,0.7740163
2025-05-29,NVDA,maple tree capitals heartwoods latest addition reddit rddt,neutral,0.93889606
2025-05-29,NVDA,ai drone operations flourishing as global quantum computing market expected to reach 53 billion by 2029,positive,0.6086831
2025-05-29,NVDA,stock market today futures surge as court blocks trump tariffs and nvidia impresses,positive,0.88789564
2025-05-29,NVDA,trump tariff block by federal court may generate early buying interest,negative,0.5378237
2025-05-29,NVDA,morning reads,neutral,0.82737243
2025-05-29,NVDA,do you believe in the growth prospects of crowdstrike holdings crwd,neutral,0.8384031
2025-05-29,NVDA,nvidia nvda q1 what everyone missed and what they didnt,neutral,0.9146457
2025-05-29,NVDA,sens warren banks criticize nvidias plans for chinese facility nvdanasdaq,negative,0.9404953
2025-05-29,NVDA,chip stocks and big tech shares jump on trump tariffs ruling nvidias earnings and elon musk news,negative,0.72180253
2025-05-29,NVDA,the usd is little change after run higher on endingtrump liberation day tariffs fizzles,positive,0.4439656
2025-05-29,NVDA,stock futures fade overnight gains after activist judges block trump tariffs nvda earnings impress,negative,0.87969965
2025-05-29,NVDA,top 5 stock buys for june ai picks that arent nvidia,neutral,0.9353792
2025-05-29,NVDA,5 things to know before the stock market opens,neutral,0.93319935
2025-05-29,NVDA,nvidia in spotlight as wall street praises very bullish results guidance nvdanasdaq,positive,0.93486434
2025-05-29,NVDA,amd isnt the next nvidia but it doesnt need to be nasdaqamd,neutral,0.94370097
2025-05-29,NVDA,trump court loss gives investors something to cheer about,neutral,0.7563302
2025-05-29,NVDA,stock market today markets surge as court blocks trump tariffs and nvidia earnings impress,positive,0.75886834
2025-05-29,NVDA,is shw stock trading too high,negative,0.6534442
2025-05-29,NVDA,usdjpy rises as court rules against trumps trade tariffs,negative,0.48654467
2025-05-29,NVDA,asia and europe markets gain trumps tariff rejection by court fuels commodity rally global markets today while us slept smartetfs asia pacific dividend builder etf arcaadiv,positive,0.8069529
2025-05-29,NVDA,wall street breakfast podcast judges check trumps trade,neutral,0.89264643
2025-05-29,NVDA,us stocks likely to open higher after federal court blocks trumps tariffs without tariff revenues there is a big beautiful hole in the big beautiful budget bill says expert c3ai nyseai ab,positive,0.7395596
2025-05-29,NVDA,global markets rise as us court rules trump tariffs are unlawful,negative,0.51705503
2025-05-29,NVDA,hang seng index ftse 100 fall with global markets on trade uncertainty oil climbs on geopolitical risks,negative,0.9435669
2025-05-29,NVDA,why nvidia shares are trading higher by over 5 here are 20 stocks moving premarket c3ai nyseai actelis networks nasdaqasns,neutral,0.8452756
2025-05-29,NVDA,stock market today markets surge as court blocks trump tariffs and nvidia impresses,positive,0.9056609
2025-05-29,NVDA,li auto inc announces unaudited first quarter 2025 financial results,neutral,0.85815674
2025-05-29,NVDA,wall street ends up with nvidia appeals court reinstates trump tariffs,neutral,0.7163515
2025-05-29,NVDA,asian shares gain after court ruling against trumps tariffs,positive,0.4329155
2025-05-29,NVDA,how high can nvidia stock price go strong nvda earnings and new 185 share predictions,neutral,0.6162262
2025-05-29,NVDA,nvidia best buy and 3 stocks to watch heading into thursday costco wholesale nasdaqcost best buy co nysebby,neutral,0.94085157
2025-05-29,NVDA,should you buy crowdstrike stock before june 3,neutral,0.9471044
2025-05-29,NVDA,1 amazing artificial intelligence ai stock down 88 youll wish youd bought on the dip in 2025,negative,0.9471289
2025-05-29,NVDA,global markets us futures rise after trump tariffs blocked by court,negative,0.67118084
2025-05-29,NVDA,is soundhound ai a buy,neutral,0.91113305
2025-05-29,NVDA,us escalates tech war with china new export curbs to hit cadence synopsys as eda software chemicals and tools face license requirements report nvidia nasdaqnvda cadence design systems nasda,negative,0.76764065
2025-05-29,NVDA,us dollar gets a lift from tariff ruling and fomc insight,positive,0.9309252
2025-05-29,NVDA,nvidias huang chinas ai sector rapidly advancing without us tech nasdaqnvda,positive,0.7232077
2025-05-29,NVDA,gold futures analysis today range strategy contract switch may 29 2025,neutral,0.92609406
2025-05-29,NVDA,european shares set to open on buoyant note,positive,0.8563515
2025-05-29,NVDA,nasdaq 100 eyeing fresh ath supported by nvidias earnings beat,positive,0.9379402
2025-05-29,NVDA,sp 500 bulls eyeing next leg up amid nvidia earnings cheer trump tariff block,neutral,0.4976499
2025-05-29,NVDA,morning bid markets hope trump tariffs stay unlawful,neutral,0.43470764
2025-05-29,NVDA,nvidia record 44b quarter signals strength despite china export headwinds,positive,0.934726
2025-05-29,NVDA,sensex jumps 200 points nifty above 24800 after us court blocks trump tariffs,positive,0.42409995
2025-05-29,NVDA,nvidia earnings ignites markets stock price was up 58 last night,positive,0.93716407
2025-05-29,NVDA,nvda aapl amzn tem tsla 5 trending stocks today apple nasdaqaapl amazoncom nasdaqamzn,neutral,0.91117156
2025-05-29,NVDA,nvidia boosts nasdaq 100 futures by 2 amid tariff decision,positive,0.93655366
2025-05-29,NVDA,stocks rally in asia as trump tariffs hit court hurdle,negative,0.6488988
2025-05-29,NVDA,ross gerber blasts trump for destroying nvidias china business gene munster says forget about the china curbs because the chip giants core business is on fire nvidia nasdaqnvda,negative,0.67560625
2025-05-29,NVDA,dow futures jump over 400 points amazon and walmart shares spike in afterhours trading after court blocks trump tariffs nikkei opens higher costco wholesale nasdaqcost amazoncom nasdaqamzn,positive,0.42537606
2025-05-29,NVDA,nvidia is better prepared for the future than competitors nasdaqnvda,positive,0.7956342
2025-05-29,NVDA,nvidia corporation nvda q1 2026 earnings call transcript,neutral,0.9156229
2025-05-29,NVDA,nvidia the ai windfall continues but forward return looks unappealing nasdaqnvda,negative,0.8740311
2025-05-29,NVDA,stocks gain dollar weakens as court battle over tariffs take center stage,negative,0.92261994
2025-05-29,NVDA,nvidia finally missed time to buy with ease rating upgrade nasdaqnvda,positive,0.59102297
2025-05-29,NVDA,hopper is no longer an option but that is okay upgrading nvidia to a buy nasdaqnvda,neutral,0.8969139
2025-05-28,NVDA,nvidia ceo eases concerns about china with upbeat sales forecast,positive,0.9236305
2025-05-28,NVDA,stock market today markets close lower as investors await nvidia earnings,negative,0.96007466
2025-05-28,NVDA,asx market open another nearflat morning as rosy nvidia results fail to really excite,negative,0.91952956
2025-05-28,NVDA,markets slide into the close nvidia crm more report,negative,0.90319777
2025-05-28,NVDA,nvidia q1 big margin decline nice underlying growth nasdaqnvda,negative,0.95713407
2025-05-28,NVDA,nvidia nvda q1 earnings taking a look at key metrics versus estimates,neutral,0.8829247
2025-05-28,NVDA,nvidia files mixed shelf offering with sec nvdanasdaq,neutral,0.83802176
2025-05-28,NVDA,sp 500 gains and losses today fico shares regain ground after recent slump,positive,0.8143468
2025-05-28,NVDA,a most nauseating asx company march of the real estate agents,neutral,0.8281573
2025-05-28,NVDA,stock market today markets dip as investors await nvidia earnings and fed minutes,negative,0.9469566
2025-05-28,NVDA,forexlive americas fx news wrap 28 may fomc meeting minutes less upbeat,neutral,0.80378073
2025-05-28,NVDA,nvidia announces financial results for first quarter fiscal 2026,neutral,0.7637082
2025-05-28,NVDA,us stock market today sp 500 nasdaq dow jones end in red all eyes on nvidia earnings results,neutral,0.7278737
2025-05-28,NVDA,amd is winning the gaming market nasdaqamd,positive,0.71600187
2025-05-28,NVDA,nasdaq 100 forecast eyeing fresh ath supported by nvidia,positive,0.9248283
2025-05-28,NVDA,us stocks close lower ahead of nvidia earnings,negative,0.937798
2025-05-28,NVDA,major us stock indices close lower ahead of nvidia earnings,negative,0.936539
2025-05-28,NVDA,jim cramer on nvidia corporation nvda the stocks in no mans land,neutral,0.92363876
2025-05-28,NVDA,stock market today markets await nvidia earnings and fed minutes as major indexes edge lower,neutral,0.79747385
2025-05-28,NVDA,market direction to be driven by nvidia earnings consumer roars back with renewed faith in trump nvidia nasdaqnvda spdr sp 500 arcaspy,positive,0.9261378
2025-05-28,NVDA,is michael burry right betting against the market again,neutral,0.8759372
2025-05-28,NVDA,major european indices close the day lower german dax backs off record close level,negative,0.8008432
2025-05-28,NVDA,top stock movers now dr horton okta abercrombie fitch and more,neutral,0.9149992
2025-05-28,NVDA,microsoft stock rallies 33will nvidias earnings be the next catalyst,neutral,0.837071
2025-05-28,NVDA,my 3 favorite stocks to buy right now,neutral,0.92801285
2025-05-28,NVDA,ahead of nvidias earnings these 10 chip stocks could be poised to rally,neutral,0.64852834
2025-05-28,NVDA,nvidia nvda gets 150 price target as piper sandler urges investors to stay long,neutral,0.5383639
2025-05-28,NVDA,insights into nvidias performance versus peers in semiconductors semiconductor equipment sector nvidia nasdaqnvda,neutral,0.8266556
2025-05-28,NVDA,us stocks move modestly lower after early upward move,negative,0.9203208
2025-05-28,NVDA,nvidia earnings are imminent these most accurate analysts revise forecasts ahead of earnings call nvidia nasdaqnvda,neutral,0.8750188
2025-05-28,NVDA,broadcom avgo is gaining market share in the aichip space tech researcher says,positive,0.93239325
2025-05-28,NVDA,nvidia earnings preview can ai powerhouse deliver another blockbuster quarter,positive,0.8484879
2025-05-28,NVDA,wall street steady ahead of nvidia earnings macys gamestop rise on strong updates,positive,0.79993707
2025-05-28,NVDA,stock market today dow sp 500 nasdaq move higher with all eyes on nvidia earnings,neutral,0.52886325
2025-05-28,NVDA,muted market moves as nvidia earnings take center stage,neutral,0.6460713
2025-05-28,NVDA,tesla why analysts think it could jump another 47,neutral,0.46297812
2025-05-28,NVDA,nvidia corporation nvda tumbled on uncertainty in the technology world,negative,0.96966994
2025-05-28,NVDA,nvidia and salesforce scheduled to announce earnings after the close,neutral,0.9228402
2025-05-28,NVDA,futures pointing to roughly flat open on wall street,negative,0.57197195
2025-05-28,NVDA,nvidias earnings report means another big test for the chip giant,positive,0.8817056
2025-05-28,NVDA,futures erases overnight loss trade higher ahead of nvidia earnings,positive,0.4444938
2025-05-28,NVDA,markets take a pause as investors stop taco trade after one day bounce,negative,0.64771014
2025-05-28,NVDA,the usd has seen up down price action w technical levels defining support resistance,positive,0.889916
2025-05-28,NVDA,5 things to know before the stock market opens,neutral,0.93319935
2025-05-28,NVDA,stock rally resumes with nvidia results watched as next catalyst,neutral,0.80514807
2025-05-28,NVDA,fed minutes awaited as risk rally eases dollar extends recovery,negative,0.3466422
2025-05-28,NVDA,tight credit spreads signal calm despite moodys downgrade,positive,0.5893108
2025-05-28,NVDA,stock market today markets cautious ahead of nvidia earnings and fomc minutes,negative,0.95527554
2025-05-28,NVDA,heres what to watch as nvidia reports earnings today nvdanasdaq,neutral,0.9399266
2025-05-28,NVDA,fear walmart at 96,neutral,0.8185827
2025-05-28,NVDA,us stocks surge on tariff reprieve and lower yields,negative,0.5334705
2025-05-28,NVDA,usdjpy holds steady near 14400 as fed rate cut bets fade,negative,0.41092363
2025-05-28,NVDA,us stocks likely to open lower ahead of nvidias q1 earnings a new modest bear market is now underway says expert autozone nyseazo abercrombie fitch nyseanf,negative,0.9042164
2025-05-28,NVDA,us stock futures dip after sharp rally focus on nvidia earnings,negative,0.8187111
2025-05-28,NVDA,world shares are mixed after a japanese government bond auction falls flat,negative,0.90957904
2025-05-28,NVDA,nasdaq sp dow futures in red as nvidia results loom spxnull,negative,0.5377513
2025-05-28,NVDA,nvidias big moment is just ahead heres what to watch for,neutral,0.93154806
2025-05-28,NVDA,1 dark horse candidate for bestperforming ai stock over the next five years,neutral,0.5649818
2025-05-28,NVDA,nvidia nvda gets buy rating despite china chip ban heres why analysts are still bullish,positive,0.7057803
2025-05-28,NVDA,dow surges over 700 points following eu tariff delay investor sentiment improves fear index remains in greed zone autozone nyseazo dicks sporting goods nysedks,negative,0.40192944
2025-05-28,NVDA,nvidia amd could stand to gain big time as japan proposes 7 billion chip deal in trump tariff talks amid china export curbs report nvidia nasdaqnvda advanced micro devices nasdaqamd,positive,0.9220141
2025-05-28,NVDA,wall street drifts lower as us stocks slow their roll,negative,0.9374019
2025-05-28,NVDA,nvda amc pdd djt tsla 5 trending stocks today amc entertainment hldgs nyseamc,neutral,0.92178595
2025-05-28,NVDA,shares finish down with investors focused on nvidia results oil prices gain,negative,0.91265357
2025-05-28,NVDA,us stocks end sharply higher on trumps tariff reprieve,positive,0.7337819
2025-05-28,NVDA,nvidia is not a sell anymore nasdaqnvda,neutral,0.944461
2025-05-28,NVDA,veteran stock trader takes hard look at nvidia ahead of earnings,neutral,0.863865
2025-05-27,NVDA,stock market today dow sp 500 nasdaq futures slip with all eyes on nvidia earnings,negative,0.9526223
2025-05-27,NVDA,us stocks surge as trade tensions ease tsla and amd lead gains,positive,0.7214737
2025-05-27,NVDA,sp 500 gains and losses today index rises after trump extends eu tariff deadline,negative,0.49597374
2025-05-27,NVDA,stock market today wall street surges as trump delays eu tariffs,positive,0.78780365
2025-05-27,NVDA,us major indices have a solid start to the holiday shortened week,positive,0.938541
2025-05-27,NVDA,sp 500 rallies 2 as wall street responds to trump delay of 50 eu tariffs,positive,0.4916912
2025-05-27,NVDA,sa analyst downgrades nvda okta hims ddog wday rng,negative,0.54896706
2025-05-27,NVDA,retail roundup earnings dribble in amid mounting macro jitters,negative,0.9652815
2025-05-27,NVDA,sa analyst upgrades nvda msft amd sbux abnb u adi,neutral,0.8839685
2025-05-27,NVDA,nvidia reports q1 earnings this week heres what to expect,neutral,0.9282507
2025-05-27,NVDA,stock market today markets rally as trump delays eu tariffs futures surge after memorial day,positive,0.65469444
2025-05-27,NVDA,nvidia h20 ban may not be factored into wall street estimates morgan stanley nvdanasdaq,neutral,0.9469031
2025-05-27,NVDA,concerns about nvidia corporation nvda are easing tech expert says,negative,0.8903488
2025-05-27,NVDA,democrats favor big tech republicans pick bitcoinetf returns tell the story,neutral,0.9230092
2025-05-27,NVDA,all eyes on china restrictions as nvidia gets set to report results,neutral,0.80884385
2025-05-27,NVDA,what bonds oil and smallcaps say about nvidias future,neutral,0.9416181
2025-05-27,NVDA,navitas soars on nvidia deal breaking down its tech and outlook,negative,0.95041627
2025-05-27,NVDA,nvidia earnings are imminent heres what you need to know nasdaqnvda,neutral,0.9366833
2025-05-27,NVDA,todays midday market update stocks rally as trump delays eu tariffs,negative,0.8965643
2025-05-27,NVDA,nvidia nvda earnings awaited as us stocks rise tsla and pdd in focus,negative,0.5745801
2025-05-27,NVDA,nvidia has a demand problem nasdaqnvda,negative,0.6904364
2025-05-27,NVDA,evaluating nvidia against peers in semiconductors semiconductor equipment industry nvidia nasdaqnvda,neutral,0.72697073
2025-05-27,NVDA,nasdaq index trades up 2 on the day sp index up 15,positive,0.93361706
2025-05-27,NVDA,why shares of pony ai are surging today,neutral,0.8174185
2025-05-27,NVDA,china market update q1 results from meituan pdd kuaishou,neutral,0.92514646
2025-05-27,NVDA,quantum stocks explode as ionq channels nvidialike vision,negative,0.7130421
2025-05-27,NVDA,is nvidia stock a buy ahead of q1 earnings,neutral,0.9297916
2025-05-27,NVDA,stock market today dow sp 500 nasdaq soar as trump pauses eu tariff hikes for fasttracked talks,positive,0.6995094
2025-05-27,NVDA,dow jones forecast djia rebounds as trump postpones steeper eu tariffs,negative,0.8350382
2025-05-27,NVDA,nvidia cisco chipotle and a basic materials stock cnbcs final trades cisco systems nasdaqcsco chipotle mexican grill nysecmg,neutral,0.94803166
2025-05-27,NVDA,can nvidia beat eps forecasts while losing ground in china,negative,0.88112974
2025-05-27,NVDA,oss to attend nvidia gtc paris 2025,neutral,0.9311885
2025-05-27,NVDA,microsoft msft and nvidia nvda named as top picks by veteran investor,positive,0.71769285
2025-05-27,NVDA,futures rip higher after trump delays eu tariff hikes,negative,0.64628905
2025-05-27,NVDA,stocks jump as japan panics about soaring bond yields,negative,0.7905224
2025-05-27,NVDA,us stock market futures today dow surges over 500 points sp 500 and nasdaq rally as trump delays eu tariffs tech giants like apple microsoft and nvidia lead gains,positive,0.8192726
2025-05-27,NVDA,us stock futures rise as trump eases eu tariff threat aapl gains,negative,0.42621922
2025-05-27,NVDA,nvidia stock ahead of earnings is a massive breakout coming nasdaqnvda,neutral,0.734094
2025-05-27,NVDA,morning bid trade confusion and long yield relief,neutral,0.49662852
2025-05-27,NVDA,stock market today futures rally as trump delays eu tariffs nvidia earnings in focus,negative,0.75309896
2025-05-27,NVDA,devexperts integrates bridgewise ai to power trading assistant devexa,neutral,0.7751817
2025-05-27,NVDA,1 nobrainer sp 500 index fund to buy right now for less than 200,neutral,0.9186279
